name,countyfips,CountyPop,Age0,Age5,Age10,Age15,Age20,Age25,Age30,Age35,Age40,Age45,Age50,Age55,Age60,Age65,Age70,Age75,Age80,Age85,Age90,Age95
Colorado,0,5773714,314580,347525,377510,375364,382920,444668,451164,423443,375579,357122,342865,359885,352394,305216,237886,148057,90766,53647,25122,8001
Adams,1,519572,33464,36326,39767,37619,34818,40460,42499,40941,36721,33131,30023,29331,26649,20989,15729,9567,6033,3516,1537,452
Alamosa,3,16376,916,1129,1169,1307,1399,1129,1130,1005,908,785,831,993,1030,946,696,445,286,171,67,34
Arapahoe,5,655070,37555,42139,46157,42405,39813,50517,52004,49690,44857,42783,39928,39244,37519,31369,24988,15249,9471,5750,2754,878
Archuleta,7,13359,554,717,714,627,408,510,693,797,677,671,719,1138,1347,1455,1158,608,314,168,53,31
Baca,9,3506,193,212,231,189,168,184,196,201,157,169,180,249,287,259,211,163,118,89,33,17
Bent,11,5650,211,238,295,274,292,429,440,466,413,351,351,424,436,349,292,166,113,70,18,22
Boulder,13,330758,13858,16789,19435,26425,30397,24443,22883,21153,20867,21106,20890,20802,20447,17978,14138,8651,5357,3192,1519,428
Broomfield,14,74112,3531,4367,5166,4688,4609,6113,5786,5143,5303,5327,4684,4400,4131,3488,3121,1955,1157,722,342,79
Chaffee,15,19476,716,827,900,791,610,1013,1283,1350,1235,1201,1160,1495,1690,1808,1520,922,496,316,101,42
Cheyenne,17,1748,65,135,147,96,72,79,100,103,105,85,86,146,138,153,90,54,46,21,19,8
Clear Creek,19,9397,367,347,416,402,308,485,660,656,645,605,740,859,912,851,607,300,140,56,27,14
Conejos,21,7461,418,587,614,499,341,329,370,450,410,350,414,502,564,554,400,272,210,117,45,15
Costilla,23,3499,134,165,206,175,153,148,177,137,173,173,232,279,370,315,268,191,110,54,27,12
Crowley,25,5922,148,156,209,187,342,521,559,644,537,457,425,436,410,343,238,133,83,57,20,17
Custer,27,4704,179,188,224,179,137,159,130,229,195,213,267,438,574,622,499,252,131,48,24,16
Delta,29,31196,1411,1717,1919,1754,1207,1421,1600,1674,1667,1611,1754,2277,2617,2788,2339,1564,1029,555,214,78
Denver,31,715522,38401,37249,37714,35611,50339,88813,82655,64272,48817,41899,36916,34373,32705,29533,23490,14274,8863,5550,3027,1021
Dolores,33,2326,88,122,115,115,84,115,126,143,127,141,166,192,225,184,156,102,62,38,14,11
Douglas,35,357978,19973,24625,28956,27180,17562,18404,21438,25363,25908,28724,27108,25049,21109,16626,13219,8139,4564,2513,1170,348
Eagle,37,55731,2866,3222,3933,3730,3058,4074,4532,4450,4206,4223,4028,3570,3376,2760,1902,1051,454,185,85,26
Elbert,39,26062,1194,1479,1779,1817,1127,963,1266,1518,1550,1848,2037,2481,2363,1919,1349,747,381,175,54,15
El Paso,41,730395,44734,47829,49889,49369,58811,57570,54963,50917,43797,41917,41433,46029,42918,35161,27282,16945,10750,6502,2736,843
Fremont,43,48939,1868,2124,2341,2307,2146,2861,3451,3539,3154,2921,3050,3722,4040,3711,3104,2115,1311,744,329,101
Garfield,45,61685,3853,4330,4540,4386,3432,4056,4445,4751,4362,3788,3644,3833,3775,3259,2317,1348,768,465,255,78
Gilpin,47,5808,169,235,317,271,191,263,371,380,430,505,445,589,578,516,280,171,62,26,5,4
Grand,49,15717,594,705,811,786,828,1123,1095,1079,1031,1018,1030,1215,1533,1160,898,446,201,113,28,23
Gunnison,51,16918,724,759,882,1337,1670,1226,1252,1218,1103,1123,1062,1007,1058,1002,740,412,175,109,33,26
Hinsdale,53,788,27,31,57,25,25,21,36,24,45,46,44,70,85,87,76,47,26,5,5,6
Huerfano,55,6820,223,300,329,378,204,272,290,298,327,304,396,591,734,717,636,379,249,122,41,30
Jackson,57,1379,58,57,87,65,44,46,100,91,86,79,81,107,139,122,76,59,49,18,15,0
Jefferson,59,582910,28688,30860,33658,33341,32643,40919,45562,43265,37883,36138,36670,41073,40502,34898,27229,17567,11131,6754,3177,952
Kiowa,61,1446,106,99,94,80,52,81,81,83,66,68,59,115,132,95,83,58,43,29,10,12
Kit Carson,63,7087,450,490,548,434,313,402,427,461,409,356,392,488,548,436,337,262,166,100,55,13
Lake,65,7436,408,389,491,477,486,652,703,574,569,474,427,423,431,396,247,137,97,40,9,6
La Plata,67,55638,2435,2880,3235,3117,4137,3247,3643,3857,3418,3383,3209,3725,4349,4247,3182,1846,934,470,239,85
Larimer,69,359066,16645,19659,20970,25719,31527,27672,25599,23944,22090,20456,19142,21417,23045,21227,16545,10696,6331,3927,1805,650
Las Animas,71,14555,599,653,796,772,709,776,846,847,777,774,823,1128,1316,1295,1047,592,417,213,129,46
Lincoln,73,5675,314,340,342,280,299,432,447,431,367,276,348,410,415,312,239,186,125,57,35,20
Logan,75,21528,1132,1107,1172,1330,1369,1582,1586,1599,1258,1195,1221,1512,1525,1375,954,661,462,293,156,39
Mesa,77,155703,7909,9006,10017,10512,9972,9196,9654,10087,9053,8240,8277,10365,11393,10654,8450,5701,3629,2223,1047,318
Mineral,79,865,32,23,20,29,22,27,56,58,22,55,46,83,96,122,83,29,37,11,3,11
Moffat,81,13292,796,924,976,931,683,838,894,845,798,741,771,945,987,807,557,379,214,124,67,15
Montezuma,83,25849,1265,1601,1613,1454,1130,1348,1547,1525,1332,1387,1509,1822,2185,2132,1722,1085,591,339,199,63
Montrose,85,42679,2091,2579,2798,2560,1963,1971,2244,2598,2338,2306,2420,2980,3365,3277,2840,1972,1311,687,283,96
Morgan,87,29111,2080,2205,2150,2042,1675,1913,1920,1803,1607,1537,1672,1831,1813,1561,1152,811,639,424,218,58
Otero,89,18690,1021,1211,1285,1431,936,1037,1036,1130,999,962,1014,1321,1294,1322,1019,723,500,296,118,35
Ouray,91,4874,126,197,219,213,129,153,245,284,246,340,309,462,546,555,431,239,110,40,21,9
Park,93,17390,635,797,831,785,499,765,1062,1157,1097,1190,1281,1699,1882,1616,1131,598,217,107,33,8
Phillips,95,4530,277,300,331,326,192,245,273,252,266,230,267,299,305,279,224,162,123,95,59,25
Pitkin,97,17358,672,747,926,824,924,1225,1358,1309,1109,1242,1321,1214,1269,1194,973,603,281,114,49,4
Prowers,99,11999,778,821,895,999,648,688,725,707,673,662,648,769,808,722,587,366,266,136,76,25
Pueblo,101,168162,8899,10201,11447,10924,9594,10258,10406,10572,9861,9585,9848,11343,12087,11015,8921,5599,3770,2310,1191,331
Rio Blanco,103,6529,364,434,581,509,342,311,410,478,355,310,336,447,491,415,303,212,125,68,35,3
Rio Grande,105,11539,593,754,740,766,515,559,655,695,641,585,656,800,952,920,699,480,265,161,67,36
Routt,107,24829,1108,1223,1559,1393,1174,1579,1876,1868,1807,1743,1701,1740,1935,1722,1239,602,302,157,72,29
Saguache,109,6368,319,332,408,353,234,307,356,385,334,352,398,493,558,602,461,264,113,55,26,18
San Juan,111,705,17,38,25,27,19,60,56,60,38,38,46,49,67,55,53,35,11,4,1,6
San Miguel,113,8072,323,407,549,412,403,623,674,515,585,633,632,584,588,476,399,172,50,26,9,12
Sedgwick,115,2404,102,128,149,141,86,107,147,118,118,120,112,185,227,202,165,114,77,46,41,19
Summit,117,31055,1345,1376,1602,1414,1791,3285,3081,2606,2135,2219,2029,2059,2081,1815,1220,651,249,70,12,15
Teller,119,24710,871,1134,1376,1193,919,981,1188,1400,1279,1473,1761,2477,2658,2561,1781,912,465,202,55,24
Washington,121,4817,273,327,325,269,197,263,290,320,277,244,275,323,388,323,258,208,133,62,59,3
Weld,123,328981,22744,24431,25257,24671,22274,22817,24911,24283,21411,19713,18563,18863,17736,15010,11089,7061,4328,2390,1107,322
Yuma,125,9988,671,746,806,642,469,602,676,645,548,541,558,600,661,554,447,347,245,150,62,18
